CustomerID,Recency,Frequency,Monetary,ProductDiversity,AvgOrderValue,PurchaseSpan,Tenure,Cluster,SegmentName
12346.0,165,11,372.86,26,33.89636363636364,196,361,1,Growth Potential
12347.0,3,2,1323.32,70,661.66,37,40,2,Price-Sensitive Regulars
12348.0,74,1,221.16,19,221.16,0,74,1,Growth Potential
12349.0,43,2,2221.14,89,1110.57,181,225,4,At-Risk / Dormant
12351.0,11,1,300.93,21,300.93,0,11,2,Price-Sensitive Regulars
12352.0,11,2,343.8,18,171.9,16,28,2,Price-Sensitive Regulars
12353.0,44,1,317.76,20,317.76,0,44,4,At-Risk / Dormant
12355.0,203,1,488.21000000000004,22,488.21000000000004,0,203,4,At-Risk / Dormant
12356.0,16,3,3126.25,67,1042.0833333333333,44,60,0,High-Value Loyalists
12357.0,24,1,11229.99,164,11229.99,0,24,0,High-Value Loyalists
12358.0,11,3,2519.01,51,839.6700000000001,356,367,0,High-Value Loyalists
12359.0,61,6,2563.36,110,427.2266666666667,308,370,0,High-Value Loyalists
12360.0,28,3,1310.83,73,436.9433333333333,263,291,2,Price-Sensitive Regulars
12361.0,98,3,276.35,13,92.11666666666667,220,318,1,Growth Potential
12366.0,269,1,500.24,3,500.24,0,269,4,At-Risk / Dormant
12368.0,264,1,917.6999999999999,18,917.6999999999999,0,264,4,At-Risk / Dormant
12369.0,49,3,1511.15,89,503.7166666666667,228,277,4,At-Risk / Dormant
12370.0,260,3,534.62,32,178.20666666666668,44,304,1,Growth Potential
12371.0,45,3,1819.42,90,606.4733333333334,235,281,4,At-Risk / Dormant
12373.0,260,2,603.0500000000001,30,301.52500000000003,49,309,4,At-Risk / Dormant
12374.0,57,2,2046.29,46,1023.145,166,224,4,At-Risk / Dormant
12376.0,25,2,383.15,10,191.575,28,53,2,Price-Sensitive Regulars
12377.0,17,2,1718.2,74,859.1,208,225,4,At-Risk / Dormant
12378.0,198,1,1407.7,82,1407.7,0,198,4,At-Risk / Dormant
12379.0,58,2,692.98,36,346.49,112,170,4,At-Risk / Dormant
12380.0,101,4,4782.84,117,1195.71,197,298,0,High-Value Loyalists
12385.0,15,1,1668.4,64,1668.4,0,15,4,At-Risk / Dormant
12386.0,2,1,258.9,8,258.9,0,2,2,Price-Sensitive Regulars
12387.0,51,1,143.94,9,143.94,0,51,1,Growth Potential
12388.0,81,2,1120.45,36,560.225,136,218,4,At-Risk / Dormant
12389.0,38,3,1433.33,41,477.77666666666664,253,291,4,At-Risk / Dormant
12391.0,100,5,2312.53,159,462.50600000000003,198,298,0,High-Value Loyalists
12392.0,227,1,234.75000000000003,7,234.75000000000003,0,227,1,Growth Potential
12393.0,18,2,816.85,38,408.425,46,64,2,Price-Sensitive Regulars
12395.0,7,4,1868.64,82,467.16,231,238,0,High-Value Loyalists
12396.0,310,1,931.43,65,931.43,0,310,4,At-Risk / Dormant
12399.0,21,3,808.65,39,269.55,259,280,2,Price-Sensitive Regulars
12400.0,50,1,205.25,11,205.25,0,50,1,Growth Potential
12402.0,28,5,941.3,39,188.26,277,306,2,Price-Sensitive Regulars
12403.0,157,1,555.6600000000001,3,555.6600000000001,0,157,4,At-Risk / Dormant
12404.0,318,1,63.24,1,63.24,0,318,1,Growth Potential
12406.0,35,3,2975.06,44,991.6866666666666,297,333,4,At-Risk / Dormant
12408.0,21,3,1287.22,40,429.0733333333333,112,134,2,Price-Sensitive Regulars
12409.0,56,4,12346.619999999999,125,3086.6549999999997,144,201,0,High-Value Loyalists
12410.0,138,1,240.38,13,240.38,0,138,1,Growth Potential
12411.0,45,1,346.9,22,346.9,0,45,4,At-Risk / Dormant
12412.0,38,3,1262.05,49,420.68333333333334,137,175,4,At-Risk / Dormant
12413.0,38,1,185.35,12,185.35,0,38,1,Growth Potential
12414.0,99,1,90.0,7,90.0,0,99,1,Growth Potential
12415.0,11,4,19468.84,168,4867.21,152,163,0,High-Value Loyalists
12416.0,292,1,202.56,11,202.56,0,292,1,Growth Potential
12417.0,46,11,2791.81,143,253.80090909090907,323,369,0,High-Value Loyalists
12418.0,49,3,1352.62,61,450.8733333333333,216,266,4,At-Risk / Dormant
12419.0,21,2,391.01,22,195.505,27,49,2,Price-Sensitive Regulars
12421.0,51,2,235.56,17,117.78,90,141,1,Growth Potential
12422.0,30,9,2955.79,107,328.4211111111111,327,357,0,High-Value Loyalists
12423.0,23,2,667.08,37,333.54,78,101,2,Price-Sensitive Regulars
12424.0,58,2,1579.07,59,789.535,125,184,4,At-Risk / Dormant
12425.0,84,1,964.21,55,964.21,0,84,4,At-Risk / Dormant
12426.0,298,1,690.48,46,690.48,0,298,4,At-Risk / Dormant
12427.0,7,1,249.5,9,249.5,0,7,2,Price-Sensitive Regulars
12429.0,1,5,3591.51,69,718.302,180,182,0,High-Value Loyalists
12431.0,9,11,4145.52,130,376.8654545454546,320,329,0,High-Value Loyalists
12433.0,2,5,7205.39,163,1441.078,110,112,0,High-Value Loyalists
12434.0,17,1,297.29,20,297.29,0,17,2,Price-Sensitive Regulars
12435.0,32,4,6096.04,68,1524.01,340,373,0,High-Value Loyalists
12437.0,31,20,6834.99,215,341.7495,341,373,0,High-Value Loyalists
12439.0,318,2,1158.18,69,579.09,43,361,4,At-Risk / Dormant
12440.0,98,2,739.2,20,369.6,255,353,4,At-Risk / Dormant
12441.0,2,1,155.55,10,155.55,0,2,2,Price-Sensitive Regulars
12443.0,368,1,365.31,20,365.31,0,368,4,At-Risk / Dormant
12445.0,56,1,301.58000000000004,20,301.58000000000004,0,56,4,At-Risk / Dormant
12449.0,74,1,678.6,9,678.6,0,74,4,At-Risk / Dormant
12450.0,35,3,490.32,25,163.44,75,110,2,Price-Sensitive Regulars
12451.0,99,3,3634.36,147,1211.4533333333334,66,165,4,At-Risk / Dormant
12454.0,31,3,12931.44,8,4310.4800000000005,25,57,0,High-Value Loyalists
12455.0,81,4,3383.09,120,845.7725,276,357,0,High-Value Loyalists
12457.0,71,1,512.68,21,512.68,0,71,4,At-Risk / Dormant
12458.0,63,2,715.09,43,357.545,60,123,4,At-Risk / Dormant
12459.0,241,1,398.36,22,398.36,0,241,4,At-Risk / Dormant
12460.0,92,1,296.65,17,296.65,0,92,4,At-Risk / Dormant
12466.0,318,1,56.73,1,56.73,0,318,1,Growth Potential
12467.0,59,1,132.8,9,132.8,0,59,1,Growth Potential
12468.0,162,3,2581.2,101,860.4,156,318,4,At-Risk / Dormant
12469.0,158,2,3070.54,76,1535.27,14,172,4,At-Risk / Dormant
12470.0,325,1,211.95,23,211.95,0,325,1,Growth Potential
12471.0,10,45,17762.54,157,394.7231111111111,358,368,0,High-Value Loyalists
12472.0,5,13,10426.48,311,802.036923076923,356,361,3,One-Time Seasonal
12474.0,14,11,4616.66,196,419.6963636363636,288,302,0,High-Value Loyalists
12475.0,45,1,396.26,24,396.26,0,45,4,At-Risk / Dormant
12476.0,33,7,6452.99,224,921.8557142857143,104,137,0,High-Value Loyalists
12477.0,35,3,7056.63,209,2352.21,223,259,0,High-Value Loyalists
12480.0,35,3,1949.22,78,649.74,108,143,4,At-Risk / Dormant
12481.0,1,5,6171.07,138,1234.214,241,243,0,High-Value Loyalists
12482.0,212,27,21941.72,41,812.6562962962963,77,289,0,High-Value Loyalists
12483.0,14,11,2181.6,34,198.3272727272727,298,313,0,High-Value Loyalists
12484.0,119,5,1619.43,109,323.886,197,317,4,At-Risk / Dormant
12485.0,165,1,708.1,34,708.1,0,165,4,At-Risk / Dormant
12486.0,67,1,917.28,48,917.28,0,67,4,At-Risk / Dormant
